feature_id,missing_n,mean_expression,sd_expression
ADRA1B,0,7.06948502466207,0.3175960313640592
ADRA1D,0,6.271134475206898,0.14123774720790183
ADRA2A,0,6.463194209117241,0.1648290664200444
ADRA2B,0,6.947571438317241,0.2059477623340133
ADRA2C,0,6.155457521668965,0.09159717592221805
ADRB1,0,6.848132697668967,0.4032927403190019
ADRB2,0,7.810129323282759,0.35516288049736144
ADRB3,0,6.083485387944827,0.14009200686283685
ADRBK1,0,5.960729249503451,0.15762240545901027
ADRBK2,0,5.972734361006897,0.17429409102298107
ADRM1,0,9.233980140275868,0.25295641671420427
ADSL,0,10.562025299289651,0.2768009607880468
ADSS,0,7.4465132891655195,0.26260263383637433
ADSSL1,0,9.236396189724141,0.4167794570327122
AEBP1,0,8.631734564455176,0.8603992981615943
AEBP2,0,7.448438251337932,0.16505518303766475
AES,0,10.207506787137929,0.232167677577832
AFAP1,0,6.6141767303241386,0.17061319208710501
AFAP1L1,0,8.536690187882757,0.25363273835767525
AFAP1L2,0,7.0015436502758615,0.18695341797312776
AFAR3,0,6.149681015420688,0.17039831553950968
AFARP1,0,6.043173478965517,0.0957091299383428
AFF1,0,7.493750245524138,0.22493340096966993
AFF2,0,6.174273218951721,0.14676843346176274
AFF3,0,6.741042346089658,0.23577279595560421
AFF4,0,7.587823684358618,0.4010126347514225
AFG3L1,0,6.3763139879448305,0.08424140155634503
AFG3L2,0,10.412900524503446,0.5784861457290662
AFM,0,5.826549786372412,0.15876749879134802
AFMID,0,7.173560441717241,0.2919803279912354
AFP,0,6.124938560068963,0.13645545915828533
AFTPH,0,6.5907330110482745,0.15640071513048875
AGA,0,7.284510611117242,0.24274280271715334
AGAP1,0,6.053535247786208,0.09585940089686072
AGAP2,0,6.031848026220691,0.12982317036871266
AGAP3,0,6.974369980917245,0.1994754731302308
AGAP7,0,6.180672765606897,0.19203348055835992
AGBL1,0,6.021954289606896,0.09006337187714206
AGBL2,0,6.070789961055171,0.1368896538141866
AGBL3,0,5.997431444041377,0.12961526269274923
AGBL4,0,5.94484316777931,0.14295486754665354
AGBL5,0,7.185389235903448,0.24405114646923243
AGC1,0,6.251253073041377,0.15123060293941962
AGER,0,6.050065144710345,0.11707833628686953
AGFG2,0,6.373179100144825,0.11644004486116735
AGGF1,0,8.011715219234487,0.18136961029836846
AGK,0,9.039623197441381,0.2500671791292952
AGL,0,8.088095995372413,0.2929304349533855
AGMAT,0,6.057494115255174,0.11205132624843528
AGPAT1,0,6.758164383406896,0.1973963875353112
AGPAT2,0,8.05360772232414,0.2702640291253428
AGPAT3,0,6.184495487296552,0.12903129647955242
AGPAT4,0,6.4509961448758615,0.12788063912628173
AGPAT5,0,6.530964172427583,0.23022135808327898
AGPAT6,0,6.5455635366275855,0.2490286619738606
AGPAT9,0,9.637084054668968,0.3839556694070307
AGPS,0,7.7516153567931,0.25342329051645207
