gene_symbol,MCI,primary_tier_normalized,primary_rank,held_out_cohort,remaining_cohorts,n_remaining_cohorts,loo_D_g,loo_S_g,loo_R_g,loo_MCI,loo_tier_normalized,loo_rank,MCI_change,absolute_MCI_change,rank_change,absolute_rank_change,tier_match
SSUH2,0.6571492956096299,MODERATE,21.0,GSE36961,GSE141910;GSE249925,2,1.0,0.37756941602751404,0.5,0.6571492956096299,MODERATE,25.0,0.0,0.0,4.0,4.0,True
CSRP3,0.6431434629210778,MODERATE,22.0,GSE36961,GSE141910;GSE249925,2,1.0,0.44096570707314076,0.5,0.6793379974755993,MODERATE,20.0,0.036194534554521485,0.036194534554521485,-2.0,2.0,True
SLC25A4,0.5959726762202882,MODERATE,23.0,GSE36961,GSE141910;GSE249925,2,1.0,0.3858375712521265,0.5,0.6600431499382443,MODERATE,24.0,0.06407047371795616,0.06407047371795616,1.0,1.0,True
PRKAG2,0.5838875374447547,MODERATE,24.0,GSE36961,GSE141910;GSE249925,2,1.0,0.3581902216538624,0.5,0.6503665775788519,MODERATE,26.0,0.06647904013409711,0.06647904013409711,2.0,2.0,True
TPM1,0.5680418520168269,MODERATE,25.0,GSE36961,GSE141910;GSE249925,2,1.0,0.4027611066730039,0.5,0.6659663873355514,MODERATE,23.0,0.09792453531872447,0.09792453531872447,-2.0,2.0,True
MT-TI,0.5439293516517061,MODERATE,26.0,GSE36961,GSE141910;GSE249925,2,1.0,0.4112267190048745,0.0,0.5439293516517061,MODERATE,32.0,0.0,0.0,6.0,6.0,True
PTPN11,0.4333303385227627,UNSTABLE,27.0,GSE36961,GSE141910;GSE249925,2,0.0,0.0,0.5,0.125,UNSTABLE,38.5,-0.3083303385227627,0.3083303385227627,11.5,11.5,True
PLN,0.4130468243349183,UNSTABLE,28.0,GSE36961,GSE141910;GSE249925,2,0.0,0.0,0.5,0.125,UNSTABLE,38.5,-0.2880468243349183,0.2880468243349183,10.5,10.5,True
LZTR1,0.4113290672251504,UNSTABLE,29.0,GSE36961,GSE141910;GSE249925,2,0.0,0.0,0.5,0.125,UNSTABLE,38.5,-0.2863290672251504,0.2863290672251504,9.5,9.5,True
LMNA,0.3999888656354379,UNSTABLE,30.0,GSE36961,GSE141910;GSE249925,2,0.0,0.0,0.5,0.125,UNSTABLE,38.5,-0.2749888656354379,0.2749888656354379,8.5,8.5,True
MYL2,0.3921424779050579,UNSTABLE,31.0,GSE36961,GSE141910;GSE249925,2,1.0,0.6868516632108428,1.0,0.890398082123795,HIGH,8.0,0.4982556042187371,0.4982556042187371,-23.0,23.0,False
