dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_DCM_HF,mean_Control,n_DCM_HF,n_Control,abs_log2FC,direction
GSE57338,DCM_HF_vs_Control,SPAG17,-0.02015147735655498,0.011553396261532808,-1.744203773538834,0.08211153066019634,0.1334589732952643,2.6497825486949163,2.669934026051469,177,136,0.02015147735655498,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,OR14C36,-0.05087124790927211,0.0291710330074424,-1.7438960045156213,0.08216528487486778,0.1335357288159458,4.146795912796612,4.197667160705883,177,136,0.05087124790927211,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,KPRP,-0.034844545485418044,0.019983340229452775,-1.7436797394892891,0.08220307436749141,0.13358652819574057,3.25118562061017,3.2860301660955886,177,136,0.034844545485418044,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,HIST1H4B,-0.07385411736199732,0.04235623743557142,-1.7436420662797942,0.08220965871759463,0.13358661269565436,5.666481043005649,5.740335160367648,177,136,0.07385411736199732,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,MCART6,0.03878378008483008,0.02224652434385503,1.743363569309333,0.08225834646717739,0.13365238812391073,5.3553018710113,5.316518090926472,177,136,0.03878378008483008,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,USP17L2,0.04163958430443726,0.023885005457388357,1.743335766815028,0.08226320827949458,0.13365238812391073,3.9099325354779664,3.8682929511735296,177,136,0.04163958430443726,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,SPANXN3,-0.02654909645496817,0.015229621447983017,-1.74325386521569,0.08227753174384614,0.13366504005097343,2.5528054191920897,2.579354515647058,177,136,0.02654909645496817,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,C3ORF42,0.05410529699896127,0.03103910435591816,1.7431333191366756,0.08229861729294116,0.13368867452860805,5.82415810341808,5.770052806419118,177,136,0.05410529699896127,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,NBPF7,-0.02565016202280601,0.014720405845385736,-1.7424901386700775,0.0824111948636712,0.13386091620032375,3.43657228766102,3.4622224496838228,177,136,0.02565016202280601,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,INSL4,-0.028859867113534055,0.016563030571132047,-1.742426724963869,0.08242230112261176,0.13386832324338102,3.0174052428644083,3.046265109977941,177,136,0.028859867113534055,down_in_DCM_HF
